"Trade Date",Futures,Open,High,Low,Close,Settle,Change,"Total Volume",EFP,"Open Interest"
2012/08/08,"K (May 13)",0,0,0,0,0,0,0,0,0
2012/08/09,"K (May 13)",0,0,0,0,0,0,0,0,0
2012/08/10,"K (May 13)",0,0,0,0,0,0,0,0,0
2012/08/13,"K (May 13)",0,0,0,0,0,0,0,0,0
2012/08/14,"K (May 13)",0,0,0,0,0,0,0,0,0
2012/08/15,"K (May 13)",0,0,0,0,0,0,0,0,0
2012/08/16,"K (May 13)",0,0,0,0,0,0,0,0,0
2012/08/17,"K (May 13)",0,0,0,0,0,0,0,0,0
2012/08/20,"K (May 13)",0,0,0,0,0,0,0,0,0
2012/08/21,"K (May 13)",0,0,0,0,0,0,0,0,0
2012/08/22,"K (May 13)",0,0,0,0,0,0,0,0,0
2012/08/23,"K (May 13)",0,0,0,0,0,0,0,0,0
2012/08/24,"K (May 13)",0,0,0,0,0,0,0,0,0
2012/08/27,"K (May 13)",0,0,0,0,27.3,27.3,0,0,0
2012/08/28,"K (May 13)",28.6,28.65,28.3,28.55,28.5,1.2,540,0,519
2012/08/29,"K (May 13)",28.55,28.75,28.3,28.75,28.7,0.2,698,0,983
2012/08/30,"K (May 13)",28.39,29.04,28.39,28.9,28.9,0.2,501,0,1361
2012/08/31,"K (May 13)",28.5,28.8,28.2,28.39,28.5,-0.4,587,0,1753
2012/09/04,"K (May 13)",28.51,28.83,28.4,28.6,28.6,0.1,368,0,2000
2012/09/05,"K (May 13)",28.7,28.7,28.1,28.2,28.2,-0.4,279,0,2202
2012/09/06,"K (May 13)",28.15,28.15,27.28,27.35,27.4,-0.8,1667,0,3051
2012/09/07,"K (May 13)",27,27.07,26.68,26.85,26.85,-0.55,693,0,3394
2012/09/10,"K (May 13)",26.74,27.3,26.74,27.3,27.25,0.4,290,0,3485
2012/09/11,"K (May 13)",26.72,26.95,26.55,26.95,27.05,-0.2,443,0,3692
2012/09/12,"K (May 13)",26.69,26.69,26.25,26.42,26.4,-0.65,173,0,3717
2012/09/13,"K (May 13)",26.46,26.8,25.45,25.85,25.95,-0.45,751,0,4186
2012/09/14,"K (May 13)",25.26,25.85,25.05,25.85,25.8,-0.15,584,0,4270
2012/09/17,"K (May 13)",25.8,25.9,25.45,25.7,25.65,-0.15,1585,0,4861
2012/09/18,"K (May 13)",26.15,26.15,25.29,25.33,25.4,-0.25,466,0,4974
2012/09/19,"K (May 13)",25.31,25.46,25,25.2,25.25,-0.15,474,0,5187
2012/09/20,"K (May 13)",25.3,25.44,25.02,25.2,25.2,-0.05,338,0,5380
2012/09/21,"K (May 13)",25.05,25.3,24.98,25.3,25.25,0.05,404,0,5627
2012/09/24,"K (May 13)",25.15,25.3,24.93,25.17,25.15,-0.1,569,0,5957
2012/09/25,"K (May 13)",25.05,25.52,24.78,25.4,25.5,0.35,719,0,6209
2012/09/26,"K (May 13)",25.63,25.85,25.45,25.6,25.6,0.1,651,0,6445
2012/09/27,"K (May 13)",25.36,25.45,24.8,25,25,-0.6,949,0,6734
2012/09/28,"K (May 13)",25.09,25.3,24.98,25.09,25.15,0.15,789,0,7103
2012/10/01,"K (May 13)",24.94,25.23,24.65,25.16,25.15,0,1144,0,8093
2012/10/02,"K (May 13)",24.9,25.15,24.8,24.98,24.95,-0.2,289,0,7763
2012/10/03,"K (May 13)",24.93,25,24.6,24.85,24.8,-0.15,603,0,7898
2012/10/04,"K (May 13)",24.5,24.67,24.3,24.35,24.35,-0.45,778,0,8170
2012/10/05,"K (May 13)",24.3,24.3,23.88,24.23,24.2,-0.15,670,0,8464
2012/10/08,"K (May 13)",24.33,24.35,24.13,24.15,24.2,0,381,0,8650
2012/10/09,"K (May 13)",24.12,24.4,24,24.25,24.3,0.1,964,0,8961
2012/10/10,"K (May 13)",24.21,24.45,24.1,24.42,24.4,0.1,736,0,9241
2012/10/11,"K (May 13)",24.22,24.22,23.7,23.93,23.95,-0.45,592,0,9550
2012/10/12,"K (May 13)",23.7,23.9,23.45,23.62,23.6,-0.35,826,0,9770
2012/10/15,"K (May 13)",23.3,23.6,23.12,23.4,23.35,-0.25,911,0,10186
2012/10/16,"K (May 13)",23.07,23.26,23,23.15,23.15,-0.2,1534,0,10891
2012/10/17,"K (May 13)",23.09,23.3,22.8,22.87,22.9,-0.25,2195,0,11473
2012/10/18,"K (May 13)",22.95,23.15,22.75,23.02,23.05,0.15,1858,0,12079
2012/10/19,"K (May 13)",23.05,23.65,22.93,23.52,23.55,0.5,3018,0,12338
2012/10/22,"K (May 13)",23.35,23.58,23.05,23.29,23.3,-0.25,2293,0,12824
2012/10/23,"K (May 13)",23.5,24,23.3,23.56,23.6,0.3,5180,0,13702
